,trait,efo,confidence
62,Benign lipomatous neoplasm of intra-abdominal organs,benign lipomatous neoplasm,5
63,Benign lipomatous neoplasm of other sites,benign lipomatous neoplasm,5
64,Benign lipomatous neoplasm unspecified,benign lipomatous neoplasm,5
65,Benign lipomatous neoplasm,benign lipomatous neoplasm,5
66,Haemangioma any site,hemangioma,5
67,Lymphangioma any site,lymphangioma,5
68,Haemangioma and lymphangioma any site,lymphangioma,5
69,Benign neoplasm: Connective and other soft tissue of head face and neck,benign connective and soft tissue neoplasm,5
70,Benign neoplasm: Connective and other soft tissue of upper limb including shoulder,connective and soft tissue neoplasm,5
71,Benign neoplasm: Connective and other soft tissue of lower limb including hip,connective and soft tissue neoplasm,5
72,Other benign neoplasms of connective and other soft tissue,benign connective and soft tissue neoplasm,5
73,Melanocytic naevi of lip,melanocytic nevus,5
74,Melanocytic naevi of eyelid including canthus,benign melanocytic skin nevus,5
75,Melanocytic naevi of ear and external auricular canal,benign melanocytic skin nevus,5
76,Melanocytic naevi of other and unspecified parts of face,Primary Melanocytic Lesion of Meninges,2
77,Melanocytic naevi of scalp and neck,benign melanocytic skin nevus,5
78,Melanocytic naevi of trunk,melanocytic nevus,5
79,Melanocytic naevi of upper limb including shoulder,benign melanocytic skin nevus,5
80,Melanocytic naevi of lower limb including hip,benign melanocytic skin nevus,5
81,Melanocytic naevi unspecified,melanocytic nevus,5
82,Melanocytic naevi,melanocytic nevus,5
83,Benign neoplasm: Skin of lip,lip morphology trait,4
84,Benign neoplasm: Skin of eyelid including canthus,skin of eyelid,5
85,Benign neoplasm: Skin of ear and external auricular canal,Abnormality of the outer ear,4
86,Benign neoplasm: Skin of other and unspecified parts of face,cysts and fistulae of the face and oral cavity,2
87,Benign neoplasm: Skin of scalp and neck,head and neck neoplasia,5
88,Benign neoplasm: Skin of trunk,skin of body,5
89,Benign neoplasm: Skin of upper limb including shoulder,Abnormality of the upper limb,5
90,Benign neoplasm: Skin of lower limb including hip,Abnormality of the lower limb,4
91,Benign neoplasm: Skin unspecified,precancerous condition,3
92,Other benign neoplasms of skin,benign neoplasm of skin,5
93,Benign neoplasm of breast,benign neoplasm of male breast,3
94,Submucous leiomyoma of uterus,Uterine leiomyoma,5
95,Intramural leiomyoma of uterus,Uterine leiomyoma,5
96,Subserosal leiomyoma of uterus,Uterine leiomyoma,5
97,Leiomyoma of uterus unspecified,Uterine leiomyoma,5
98,Leiomyoma of uterus,Uterine leiomyoma,5
99,Other benign neoplasm: Cervix uteri,cervical benign neoplasm,5
100,Other benign neoplasm: Corpus uteri,benign neoplasm of corpus uteri,5
101,Other benign neoplasm: Uterus unspecified,uterine benign neoplasm,5
102,Other benign neoplasms of uterus,uterine benign neoplasm,5
103,Benign neoplasm of ovary,Benign Ovarian Neoplasm,5
104,Benign neoplasm: Vulva,polyp of vulva,4
105,Benign neoplasm: Vagina,vaginal adenoma,5
106,Benign neoplasm: Uterine tubes and ligaments,benign uterine ligament neoplasm,5
107,Benign neoplasm of other and unspecified female genital organs,"Genital neoplasm, female",5
108,Benign neoplasm: Prostate,prostatic adenoma,5
109,Benign neoplasm of male genital organs,benign neoplasm of penis,5
110,Benign neoplasm: Kidney,kidney,5
111,Benign neoplasm: Bladder,urine,5
112,Benign neoplasm of urinary organs,benign urinary system neoplasm,5
113,Benign neoplasm: Conjunctiva,Conjunctival Nevus,5
114,Benign neoplasm of eye and adnexa,benign neoplasm of eye,5
115,Benign neoplasm of thyroid gland,Benign Thyroid Gland Neoplasm,5
116,Benign neoplasm: Adrenal gland,Adrenal gland neoplasm,5
117,Benign neoplasm: Parathyroid gland,parathyroid adenoma,5
118,Benign neoplasm: Lymph nodes,lymph node disorder,4
119,Benign neoplasm: Peripheral nerves and autonomic nervous system,autonomic nervous system,4
120,Benign neoplasm: Other specified sites,other organism part,4
121,Benign neoplasm of other and unspecified sites,benign neoplasm of skin,2
122,Neoplasm of uncertain or unknown behaviour: Lip oral cavity and pharynx,neoplasm of oral cavity,4
123,Neoplasm of uncertain or unknown behaviour: Small intestine,small intestine neoplasm,5
124,Neoplasm of uncertain or unknown behaviour: Liver gallbladder and bile ducts,liver and intrahepatic bile duct neoplasm,4
125,Neoplasm of uncertain or unknown behaviour: Other digestive organs,benign digestive system neoplasm,4
126,Neoplasm of uncertain or unknown behaviour: Digestive organ unspecified,benign digestive system neoplasm,5
127,Neoplasm of uncertain or unknown behaviour: Larynx,neoplasm of oropharynx,2
128,Neoplasm of uncertain or unknown behaviour: Trachea bronchus and lung,Tracheal neoplasm,4
129,Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,liver and intrahepatic bile duct neoplasm,2
130,Neoplasm of uncertain or unknown behaviour: Prostate,benign neoplasm of prostate,5
131,Neoplasm of uncertain or unknown behaviour: Testis,neoplasm of testis,5
132,Neoplasm of uncertain or unknown behaviour: Kidney,neoplasm of kidney,5
133,Neoplasm of uncertain or unknown behaviour: Ureter,ureteral neoplasm,5
134,Neoplasm of uncertain or unknown behaviour: Brain supratentorial,central nervous system primitive neuroectodermal neoplasm,4
135,Neoplasm of uncertain or unknown behaviour: Thyroid gland,Benign Thyroid Gland Neoplasm,5
136,Neoplasm of uncertain or unknown behaviour: Pituitary gland,non-functioning pituitary gland neoplasm,4
137,Refractory anaemia with multi-lineage dysplasia,myelodysplastic syndrome with multilineage dysplasia,5
138,Osteomyelofibrosis,myelofibrosis,5
139,Neoplasm of uncertain or unknown behaviour: Bone and articular cartilage,obsolete_primary bone dysplasia with disorganized development of skeletal components,4
140,Neoplasm of uncertain or unknown behaviour: Other specified sites,neoplastic disease or syndrome,2
141,Iron deficiency anaemia secondary to blood loss (chronic),Constitutional anemia due to iron metabolism disorder,5
142,Other iron deficiency anaemias,acquired deficiency anemia,4
143,Iron deficiency anaemia unspecified,Iron deficiency anemia,5
144,Folate deficiency anaemia unspecified,Constitutional megaloblastic anemia due to folate metabolism disorder,5
145,Folate deficiency anaemia,Megaloblastic anemia,5
146,Hereditary haemolytic anaemia unspecified,Congenital hemolytic anemia,4
147,Other hereditary haemolytic anaemias,Congenital hemolytic anemia,4
148,Other autoimmune haemolytic anaemias,"Anemia, Hemolytic, Autoimmune",5
149,Acquired haemolytic anaemia,"autoimmune hemolytic anemia, cold type",4
150,Aplastic anaemia unspecified,aplastic anemia,5
151,Other aplastic anaemias,acquired aplastic anemia,4
152,Anaemia in neoplastic disease,paraneoplastic hematological syndrome,5
153,Anaemia in other chronic diseases classified elsewhere,Constitutional anemia due to iron metabolism disorder,4
154,Anaemia in chronic diseases classified elsewhere,Constitutional anemia due to iron metabolism disorder,5
155,Other specified anaemias,Rare constitutional anemia,4
156,Hereditary factor VIII deficiency,obsolete_factor VIII deficiency,4
157,Von Willebrand disease,Von Willebrand disease,5
158,Haemorrhagic disorder due to circulating anticoagulants,Rare hemorrhagic disorder due to a constitutional coagulation factors defect,4
159,Coagulation defect unspecified,Abnormality of coagulation,5
160,Other coagulation defects,Abnormality of coagulation,4
161,Allergic purpura,Purpura,4
162,Secondary thrombocytopenia,acquired thrombocytopenia,5
163,Thrombocytopenia unspecified,Thrombocytopenia,5
164,Eosinophilia,Eosinophilia,5
165,Other specified disorders of white blood cells,Abnormality of blood and blood-forming tissues,5
166,Other disorders of white blood cells,Abnormality of blood and blood-forming tissues,5
167,Infarction of spleen,splenic infarction,5
168,Diseases of spleen,splenic disease,5
169,Secondary polycythaemia,secondary polycythemia,5
170,D752 Essential thrombocytosis,Thrombocytosis,5
171,Other specified diseases of blood and blood-forming organs,Abnormality of blood and blood-forming tissues,5
172,Disease of blood and blood-forming organs unspecified,Abnormality of blood and blood-forming tissues,5
173,Other diseases of blood and blood-forming organs,Abnormality of blood and blood-forming tissues,5
174,Other histiocytosis syndromes,non-Langerhans cell histiocytosis,5
175,Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue,Histiocytic and Dendritic Cell Neoplasm,4
176,Nonfamilial hypogammaglobulinaemia,isolated agammaglobulinemia,4
177,Immunodeficiency with predominantly antibody defects,Other immunodeficiency syndrome with predominantly antibody defects,5
178,Common variable immunodeficiency unspecified,common variable immunodeficiency,5
179,Common variable immunodeficiency,common variable immunodeficiency,5
180,Immunodeficiency unspecified,obsolete_immunodeficiency predominantly affecting antibody production,3
181,Other immunodeficiencies,obsolete other immunodeficiency syndromes due to defects in innate immunity,4
182,Sarcoidosis of lung,pulmonary sarcoidosis,5
183,Sarcoidosis of lymph nodes,sarcoidosis,5
184,Sarcoidosis of other and combined sites,sarcoidosis,5
185,Sarcoidosis unspecified,sarcoidosis,5
186,Hypergammaglobulinaemia unspecified,dysgammaglobulinemia,4
187,Disorder involving the immune mechanism unspecified,Abnormality of the immune system,5
188,Other disorders involving the immune mechanism not elsewhere classified,Genetic immune deficiency with skin involvement,4
189,Nontoxic diffuse goitre,nontoxic goiter,5
190,Nontoxic single thyroid nodule,follicular thyroid adenoma,4
191,Nontoxic multinodular goitre,nontoxic goiter,5
192,Nontoxic goitre unspecified,nontoxic goiter,5
193,Other nontoxic goitre,nontoxic goiter,5
194,Thyrotoxicosis with diffuse goitre,toxic diffuse goiter,5
195,Thyrotoxicosis with toxic multinodular goitre,multinodular goiter,5
196,Thyrotoxicosis unspecified,Thyrotoxicosis,5
197,Thyrotoxicosis [hyperthyroidism],hyperthyroidism,5
198,Thyroiditis,thyroiditis,5
199,Other specified disorders of thyroid,Abnormality of the thyroid gland,4
200,Disorder of thyroid unspecified,Abnormality of the thyroid gland,5
201,Other disorders of thyroid,Abnormality of the thyroid gland,4
202,Type 1 diabetes mellitus; With ketoacidosis,diabetic ketoacidosis,5
203,Type 1 diabetes mellitus; With ophthalmic complications,type 1 diabetes mellitus,5
204,Type 1 diabetes mellitus; With peripheral circulatory complications,type 1 diabetes mellitus,5
205,Type 2 diabetes mellitus; With coma,type 2 diabetes mellitus,5
206,Type 2 diabetes mellitus; With ketoacidosis,diabetic ketoacidosis,5
207,Type 2 diabetes mellitus; With renal complications,type 2 diabetes mellitus,5
208,Type 2 diabetes mellitus; With ophthalmic complications,diabetes mellitus type 2 associated cataract,5
209,Type 2 diabetes mellitus; With neurological complications,type 2 diabetes mellitus,5
210,Type 2 diabetes mellitus; With peripheral circulatory complications,diabetes mellitus type 2 associated cataract,4
211,Type 2 diabetes mellitus; With other specified complications,type 2 diabetes mellitus,5
212,Other specified diabetes mellitus; Without complications,insulin-resistant diabetes mellitus,3
213,Other specified diabetes mellitus,Diabetes mellitus,4
214,Unspecified diabetes mellitus; With ophthalmic complications,diabetes mellitus type 2 associated cataract,5
215,Drug-induced hypoglycaemia without coma,trait in response to hypoglycemic agent,5
216,Other hypoglycaemia,Hypoglycemia,5
217,Hypoglycaemia unspecified,Hypoglycemia,5
218,Other disorders of pancreatic internal secretion,Abnormality of the pancreatic islet cells,5
219,Primary hyperparathyroidism,primary hyperparathyroidism,5
220,Hyperparathyroidism unspecified,hyperparathyroidism,5
221,Hyperparathyroidism and other disorders of parathyroid gland,primary hyperparathyroidism,5
222,Acromegaly and pituitary gigantism,familial isolated pituitary adenoma,4
223,Syndrome of inappropriate secretion of antidiuretic hormone,ectopic hormone secretion syndrome associated with neoplasia,4
224,Hyperfunction of pituitary gland,anterior pituitary gland disorder,4
225,Hypopituitarism,hypopituitarism,5
226,Diabetes insipidus,diabetes insipidus,5
227,Other disorders of pituitary gland,pituitary gland disease,5
228,Disorder of pituitary gland unspecified,anterior pituitary gland disorder,3
229,Hypofunction and other disorders of pituitary gland,non-acquired pituitary hormone deficiency,5
230,Cushing syndrome unspecified,Unspecified juvenile idiopathic arthritis,1
231,Cushing syndrome,Cushing syndrome,5
232,Primary hyperaldosteronism,hyperaldosteronism,5
233,Hyperaldosteronism,hyperaldosteronism,5
234,Primary adrenocortical insufficiency,primary adrenal insufficiency,5
235,Addisonian crisis,obsolete Addison disease,5
236,Other and unspecified adrenocortical insufficiency,adrenocortical insufficiency,5
237,Other specified disorders of adrenal gland,adrenal gland disease,5
238,Disorder of adrenal gland unspecified,Abnormality of the adrenal glands,5
239,Other disorders of adrenal gland,adrenal gland disease,5
240,Polycystic ovarian syndrome,polycystic ovary syndrome,5
241,Ovarian dysfunction,primary ovarian insufficiency,4
242,Testicular hypofunction,Testicular atrophy,5
243,Testicular dysfunction,testicular disease,5
244,Endocrine disorder unspecified,Abnormality of the endocrine system,5
245,Other endocrine disorders,endocrine system disease,4
246,Unspecified protein-energy malnutrition,protein energy malnutrition,5
247,Deficiency of other specified B group vitamins,Abnormality of vitamin metabolism,4
248,Deficiency of other B group vitamins,obsolete_disorder of other vitamins and cofactors metabolism and transport,5
249,Vitamin D deficiency unspecified,vitamin D deficiency,5
250,Vitamin D deficiency,vitamin D deficiency,5
251,Iron deficiency,iron metabolism disease,5
252,Deficiency of other nutrient elements,obsolete_disorder of mineral absorption and transport,5
253,Localized adiposity,adipose tissue of abdominal region,5
254,Other obesity,obesity,5
255,Disorders of phosphorus metabolism and phosphatases,Low alkaline phosphatase,5
256,Disorders of magnesium metabolism,disorder of magnesium transport,5
257,Disorders of calcium metabolism,disorders of vitamin D metabolism,5
258,Amyloidosis unspecified,primary systemic amyloidosis,4
259,Volume depletion,urinary volume,5
260,Hyperosmolality and hypernatraemia,hypotonia with lactic acidemia and hyperammonemia,2
261,Hypo-osmolality and hyponatraemia,Bartter syndrome with hypocalcemia,4
262,Acidosis,Metabolic acidosis,4
263,Hyperkalaemia,Hyperkalemia,5
264,Hypokalaemia,Hypokalemia,5
265,Fluid overload,Increased body weight,4
266,Other disorders of electrolyte and fluid balance not elsewhere classified,Abnormality of urine homeostasis,4
267,Disorders of plasma-protein metabolism not elsewhere classified,Disorder of peptide metabolism,4
268,Other metabolic disorders,Other metabolic disease,5
269,Dementia in Alzheimer disease atypical or mixed type,familial Alzheimer disease,4
270,Dementia in Alzheimer disease unspecified,obsolete_Alzheimer's disease,3
271,Dementia in Alzheimer disease,Alzheimer disease,5
272,Dementia in other diseases classified elsewhere,AIDS dementia,3
273,Delirium not superimposed on dementia so described,"encephalitis/encephalopathy, mild, with reversible myelin vacuolization",3
274,Delirium superimposed on dementia,Ataxia with dementia,2
275,Other delirium,Delirium,5
276,Delirium unspecified,post-operative delirium,3
277,Delirium not induced by alcohol and other psychoactive substances,"developmental delay, behavioral abnormalities, and neuropsychiatric disorders",4
278,Mild cognitive disorder,cognitive disorder,5
279,Other mental disorders due to brain damage and dysfunction and to physical disease,neurodevelopmental disorder with non-specific brain abnormalities and with or without seizures,4
280,Postconcussional syndrome,obsolete_multiple synostoses syndrome,1
281,Paranoid schizophrenia,schizophrenia,5
282,Schizophrenia unspecified,schizophrenia,5
283,Delusional disorder,delusional disorder,5
284,Persistent delusional disorders,delusional disorder,5
285,Acute and transient psychotic disorder unspecified,Psychotic episodes,5
286,Acute and transient psychotic disorders,psychotic episodes,5
287,Schizoaffective disorder manic type,Schizoaffective disorder-bipolar type,5
288,Schizoaffective disorder depressive type,schizoaffective disorder,5
289,Schizoaffective disorder unspecified,schizoaffective disorder,5
290,Schizoaffective disorders,schizoaffective disorder,5
291,Unspecified nonorganic psychosis,obsolete unspecified inborn mitochondrial disorder,2
292,Hypomania,,1
293,Mania with psychotic symptoms,manic or hypomanic episode,5
294,Manic episode unspecified,manic or hypomanic episode,5
295,Manic episode,manic episode measurement,5
296,Bipolar affective disorder current episode hypomanic,manic or hypomanic episode,5
297,Bipolar affective disorder current episode manic without psychotic symptoms,manic or hypomanic episode,5
298,Bipolar affective disorder current episode manic with psychotic symptoms,schizoaffective disorder-bipolar type,5
299,Bipolar affective disorder current episode mild or moderate depression,bipolar disorder,5
300,Bipolar affective disorder current episode severe depression without psychotic symptoms,obsolete_bipolar disorder,4
301,Bipolar affective disorder current episode severe depression with psychotic symptoms,schizoaffective disorder-bipolar type,5
302,Bipolar affective disorder current episode mixed,bipolar disorder,5
303,Bipolar affective disorder currently in remission,bipolar disorder,5
304,Bipolar affective disorder unspecified,bipolar disorder,5
305,Bipolar affective disorder,bipolar disorder,5
306,Mild depressive episode,depressive episode measurement,4
307,Moderate depressive episode,depressive disorder,4
308,Severe depressive episode without psychotic symptoms,major depressive episode,5
309,Severe depressive episode with psychotic symptoms,Schizoaffective disorder-bipolar type,4
310,Recurrent depressive disorder current episode mild,major depressive episode,5
311,Recurrent depressive disorder current episode moderate,major depressive episode,5
312,Recurrent depressive disorder current episode severe without psychotic symptoms,major depressive episode,5
313,Recurrent depressive disorder current episode severe with psychotic symptoms,major depressive episode,5
314,Recurrent depressive disorder unspecified,obsolete_major depressive disorder,4
315,Recurrent depressive disorder,major depressive disorder,5
316,Panic disorder [episodic paroxysmal anxiety],obsolete_paroxysmal extreme pain disorder,1
317,Generalized anxiety disorder,generalized anxiety disorder,5
318,Mixed anxiety and depressive disorder,mixed anxiety and depressive disorder,5
319,Anxiety disorder unspecified,mental or behavioural disorder,5
320,Other anxiety disorders,anxiety disorder,5
321,Obsessive-compulsive disorder,obsessive-compulsive disorder,5
322,Acute stress reaction,response to trauma exposure,5
323,Adjustment disorders,adjustment disorder,5
324,Reaction to severe stress unspecified,regulation of response to stimulus,4
325,Reaction to severe stress and adjustment disorders,response to stress,5
326,Dissociative motor disorders,dissociative disorder,5
327,Dissociative convulsions,dissociative disorder,5
328,Dissociative [conversion] disorders,dissociative disorder,5
329,Mental disorder not otherwise specified,mental or behavioural disorder,5
330,Pneumococcal meningitis,pneumococcal meningitis,5
331,Meningitis unspecified,Meningitis,5
332,Meningitis due to other and unspecified causes,bacterial meningitis caused by gram-negative bacteria,2
333,Other encephalitis myelitis and encephalomyelitis,encephalomyelitis,4
334,Encephalitis myelitis and encephalomyelitis unspecified,encephalomyelitis,5
335,Encephalitis myelitis and encephalomyelitis,encephalomyelitis,5
336,Intracranial abscess and granuloma,intracranial hemorrhage,2
337,Intraspinal abscess and granuloma,intraspinal meningioma,2
338,Intracranial and intraspinal abscess and granuloma,intraspinal meningioma,2
339,Intracranial and intraspinal phlebitis and thrombophlebitis,Recurrent thrombophlebitis,4
340,Hereditary ataxia unspecified,Rare hereditary ataxia,5
341,Hereditary ataxia,hereditary ataxia,5
342,Secondary parkinsonism,secondary Parkinson disease,5
343,Blepharospasm,Blepharospasm - oromandibular dystonia,5
344,Dystonia unspecified,dystonic disorder,4
345,Dystonia,dystonic disorder,5
346,Essential tremor,essential tremor,5
347,Myoclonus,Myoclonus,5
348,Other specified extrapyramidal and movement disorders,extrapyramidal and movement disease,5
349,Other extrapyramidal and movement disorders,extrapyramidal and movement disease,4
350,Alzheimer disease with early onset,early-onset autosomal dominant Alzheimer disease,5
351,Other Alzheimer disease,Alzheimer disease,3
352,Degeneration of nervous system due to alcohol,Atrophy/Degeneration affecting the central nervous system,5
353,Degenerative disease of nervous system unspecified,Atrophy/Degeneration affecting the central nervous system,5
354,Acute transverse myelitis in demyelinating disease of central nervous system,CNS demyelinating autoimmune disease,5
355,Demyelinating disease of central nervous system unspecified,demyelinating disease of central nervous system,5
356,Other demyelinating diseases of central nervous system,demyelinating disease of central nervous system,5
357,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures,benign infantile focal epilepsy with midline spikes and wave during sleep,5
358,Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures,benign partial epilepsy of infancy with complex partial seizures,5
359,Generalized idiopathic epilepsy and epileptic syndromes,Generalized epilepsy with febrile seizures plus,4
360,Special epileptic syndromes,Rare genetic epilepsy,5
361,Grand mal seizures unspecified (with or without petit mal),developmental delay and seizures with or without movement abnormalities,4
362,Other epilepsy,epilepsy,3
363,Grand mal status epilepticus,Convulsive status epilepticus,5
364,Status epilepticus unspecified,status epilepticus,5
365,Status epilepticus,status epilepticus,5
366,Migraine without aura [common migraine],migraine without aura,5
367,Migraine with aura [classical migraine],migraine with aura,5
368,Complicated migraine,familial or sporadic hemiplegic migraine,4
369,Other migraine,migraine disorder,4
370,Migraine unspecified,migraine disorder,5
371,Migraine,migraine disorder,5
372,Cluster headache syndrome,Cluster headache,5
373,Tension-type headache,headache disorder,5
374,Drug-induced headache not elsewhere classified,drug-induced mental disorder,4
375,Other specified headache syndromes,obsolete disorder involving pain,4
376,Other headache syndromes,headache disorder,5
377,Amaurosis fugax,Leber congenital amaurosis,4
378,Transient global amnesia,amnesia,5
379,Other transient cerebral ischaemic attacks and related syndromes,cerebral arteriopathy with subcortical infarcts and leukoencephalopathy,5
380,Disorders of initiating and maintaining sleep [insomnias],"circadian sleep/wake cycle, non-REM sleep",4
381,Disorders of excessive somnolence [hypersomnias],hypersomnia,5
382,Disorders of the sleep-wake schedule,"circadian sleep/wake cycle, non-REM sleep",5
383,Other sleep disorders,Sleep Disorder,5
384,Sleep disorder unspecified,Sleep abnormality,5
385,Trigeminal neuralgia,trigeminal neuralgia,5
386,Atypical facial pain,Atypical behavior,3
387,Disorders of trigeminal nerve,trigeminal nerve disease,5
388,Bell palsy,Bell's palsy,5
389,Clonic hemifacial spasm,craniofacial dystonia,4
390,Disorder of facial nerve unspecified,Abnormality of the nervous system,5
391,Facial nerve disorders,facial nerve disease,5
392,Disorders of other cranial nerves,cranial nerve neuropathy,5
393,Brachial plexus disorders,brachial plexus neuropathy,5
394,Lumbosacral root disorders not elsewhere classified,lumbosacral nerve plexus,4
395,Nerve root and plexus disorder unspecified,nerve plexus disease,5
396,Nerve root and plexus disorders,nerve plexus disease,5
397,Nerve root and plexus compressions in neoplastic disease,nerve plexus neoplasm,5
398,Nerve root and plexus compressions in intervertebral disc disorders,Intervertebral disk degeneration,5
399,Nerve root and plexus compressions in spondylosis,brachial plexus neuropathy,4
400,Nerve root and plexus compressions in other dorsopathies,hereditary neuropathy with liability to pressure palsies,4
401,Nerve root and plexus compressions in diseases classified elsewhere,nerve plexus disease,5
402,Other lesions of median nerve,median nodule of the upper lip,3
403,Lesion of ulnar nerve,ulnar nerve lesion,5
404,Lesion of radial nerve,radial nerve lesion,5
405,Other mononeuropathies of upper limb,mononeuropathy of the median nerve,5
406,Mononeuropathies of upper limb,mononeuropathy of the median nerve,5
407,Lesion of sciatic nerve,lesion of sciatic nerve,5
408,Meralgia paraesthetica,meralgia paresthetica,5
409,Lesion of lateral popliteal nerve,popliteal nerve lesion,5
410,Tarsal tunnel syndrome,tarsal tunnel syndrome,5
411,Lesion of plantar nerve,peripheral nerve lesion,5
412,Other mononeuropathies of lower limb,mononeuropathy of the median nerve,2
413,Mononeuropathies of lower limb,hereditary peripheral neuropathy,4
414,Other specified mononeuropathies,mononeuropathy,5
415,Mononeuropathy unspecified,mononeuropathy,5
416,Other mononeuropathies,mononeuropathy,5
417,Hereditary motor and sensory neuropathy,hereditary motor and sensory neuropathy,5
418,Other hereditary and idiopathic neuropathies,Rare hereditary neurologic disease with peripheral neuropathy,4
419,Hereditary and idiopathic neuropathy,hereditary peripheral neuropathy,5
420,Other inflammatory polyneuropathies,chronic inflammatory demyelinating polyneuropathy,4
421,Inflammatory polyneuropathy,chronic inflammatory demyelinating polyneuropathy,5
422,Other specified polyneuropathies,polyneuropathy,4
423,Polyneuropathy unspecified,polyneuropathy,5
424,Other polyneuropathies,polyneuropathy,4
425,Myasthenia gravis and other myoneural disorders,Myasthenia gravis,5
426,Primary disorders of muscles,skeletal muscle disorder,5
427,Inflammatory myopathy not elsewhere classified,idiopathic inflammatory myopathy,5
428,Myopathy unspecified,EMG: myopathic abnormalities,4
429,Other myopathies,Myopathy,4
430,Spastic hemiplegia,Hemiplegia/hemiparesis,5
431,Hemiplegia unspecified,Hemiplegia/hemiparesis,5
432,Hemiplegia,hemiplegia,5
433,Spastic paraplegia,Spastic paraplegia,5
434,Paraplegia unspecified,Spastic paraplegia,4
435,Tetraplegia unspecified,spastic tetraplegia,4
436,Paraplegia and tetraplegia,Spastic tetraplegia,4
437,Cauda equina syndrome,Cauda equina syndrome,5
438,Other specified paralytic syndromes,thyrotoxic periodic paralysis,3
439,Other paralytic syndromes,paraneoplastic syndrome,4
440,Idiopathic peripheral autonomic neuropathy,autonomic neuropathy,4
441,Horner syndrome,Horner syndrome,5
442,Disorder of autonomic nervous system unspecified,autonomic nervous system disease,5
443,Obstructive hydrocephalus,obstructive hydrocephalus,5
444,Normal-pressure hydrocephalus,normal pressure hydrocephalus,5
445,Hydrocephalus unspecified,Hydrocephalus,5
446,Hydrocephalus,Hydrocephalus,5
447,Cerebral cysts,Cerebellar cyst,2
448,Benign intracranial hypertension,intracranial hypertension,5
449,Encephalopathy unspecified,Encephalopathy,5
450,Cerebral oedema,brain edema,5
451,Other specified disorders of brain,obsolete brain inflammatory disease,3
452,Disorder of brain unspecified,Abnormality of the nervous system,5
453,Vascular myelopathies,Myelopathy,5
454,Cord compression unspecified,obsolete_spinal cord,5
455,Other specified diseases of spinal cord,"Malformation of the neurenteric canal, spinal cord and column",4
456,Disease of spinal cord unspecified,Morphological central nervous system abnormality,5
457,Other diseases of spinal cord,spinal cord disease,5
458,Cerebrospinal fluid leak,cerebrospinal fluid otorrhea,5
459,Disorders of meninges not elsewhere classified,obsolete_meninges,3
460,Other disorders of central nervous system,central nervous system disease,5
461,Other reaction to spinal and lumbar puncture,lumbar puncture,5
462,Other postprocedural disorders of nervous system,Abnormality of the nervous system,5
463,Postprocedural disorders of nervous system not elsewhere classified,infectious disorder of the nervous system,2
464,Other disorders of nervous system not elsewhere classified,Abnormality of the nervous system,5
465,Myelopathy in diseases classified elsewhere,proximal myopathy with extrapyramidal signs,3
466,Other disorders of nervous system in diseases classified elsewhere,Abnormality of the nervous system,5
467,Hordeolum and other deep inflammation of eyelid,noninfectious dermatoses of eyelid,2
468,Hordeolum and chalazion,Hordeolum,5
469,Blepharitis,blepharitis,5
470,Other specified inflammation of eyelid,skin of eyelid,5
471,Inflammation of eyelid unspecified,Inflammatory abnormality of the skin,5
472,Other inflammation of eyelid,Inflammatory abnormality of the skin,4
473,Entropion and trichiasis of eyelid,noninfectious dermatoses of eyelid,4
474,Ectropion of eyelid,ectropion,5
475,Lagophthalmos,lagophthalmos,5
476,Blepharochalasis,blepharophimosis,2
477,Ptosis of eyelid,Congenital ptosis,5
478,Other disorders affecting eyelid function,congenital eyelid retraction,4
479,Xanthelasma of eyelid,Xanthelasma,5
480,Other specified disorders of eyelid,obsolete eyelids malposition disorder,4
481,Disorder of eyelid unspecified,disease of orbital part of eye adnexa,4
482,Other disorders of lacrimal gland,disorder of lacrimal gland,5
483,Epiphora,epiphora,5
484,Chronic inflammation of lacrimal passages,chronic inflammation of lacrimal passage,5
485,Stenosis and insufficiency of lacrimal passages,Rare lacrimal system disease,4
486,Other disorders of lacrimal system,lacrimal apparatus disease,4
487,Disorder of lacrimal system unspecified,Rare lacrimal system disease,4
488,Exophthalmic conditions,anophthalmia,2
489,Other disorders of orbit,disease of orbital region,5
490,Disorders of orbit,disease of orbital region,5
491,Dysthyroid exophthalmos,Progressive external ophthalmoplegia - myopathy - emaciation,2
492,Disorders of lacrimal system and orbit in diseases classified elsewhere,lacrimal apparatus disease,5
493,Chronic conjunctivitis,chronic conjunctivitis,5
494,Conjunctivitis unspecified,conjunctivitis,5
495,Conjunctivitis,conjunctivitis,5
496,Pterygium,pterygium,5
497,Conjunctival degenerations and deposits,conjunctival degeneration,5
498,Conjunctival haemorrhage,acute hemorrhagic conjunctivitis,3
499,Other conjunctival vascular disorders and cysts,multiple cutaneous and mucosal venous malformations,4
500,Other specified disorders of conjunctiva,conjunctival disorder,5
501,Disorder of conjunctiva unspecified,Rare conjunctival disease,5
502,Other disorders of conjunctiva,conjunctival disorder,5
503,Disorders of sclera,scleral disorder,5
504,Corneal ulcer,corneal ulcer,5
505,Keratitis unspecified,Dendritic keratitis,3
506,Keratitis,keratitis,5
